"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Feb-2025","EQ","220.35","240.40","215.60","220.35","235.02","236.32","230.85","304.70","132.35","8,52,97,849","19,69,12,07,396.49","4,98,770"
"31-Jan-2025","EQ","219.00","223.00","217.00","218.80","222.10","220.35","220.69","304.70","132.35","3,32,00,044","7,32,69,97,416.85","1,54,834"
"30-Jan-2025","EQ","223.00","224.80","217.00","222.50","218.75","218.80","220.31","304.70","132.35","4,47,30,687","9,85,45,17,236.55","1,99,242"
"29-Jan-2025","EQ","211.00","223.75","210.20","208.20","222.15","222.50","217.83","304.70","132.35","5,36,38,588","11,68,40,36,862.00","2,62,293"
"28-Jan-2025","EQ","206.25","211.75","205.60","206.20","209.30","208.20","208.97","304.70","132.35","5,44,26,157","11,37,32,84,084.60","2,79,495"
"27-Jan-2025","EQ","213.00","213.00","205.50","215.60","206.10","206.20","208.97","304.70","132.35","5,52,03,993","11,53,60,63,861.85","3,09,246"
"24-Jan-2025","EQ","221.00","221.00","214.60","221.95","215.45","215.60","217.78","304.70","127.00","4,39,01,547","9,56,10,28,972.80","2,65,340"
"23-Jan-2025","EQ","219.65","223.45","216.45","216.45","220.95","221.95","220.69","304.70","127.00","7,56,49,874","16,69,50,11,170.10","3,76,145"
"22-Jan-2025","EQ","207.15","218.20","203.85","214.55","218.10","216.45","210.75","304.70","127.00","17,82,56,196","37,56,80,07,232.30","6,54,957"
"21-Jan-2025","EQ","223.00","227.00","207.80","239.75","215.40","214.55","218.11","304.70","127.00","30,82,17,731","67,22,57,69,802.05","14,03,192"
"20-Jan-2025","EQ","251.00","254.35","228.25","248.80","230.70","239.75","244.49","304.70","127.00","10,26,66,319","25,10,09,33,417.30","4,46,072"
"17-Jan-2025","EQ","244.70","250.80","240.50","241.90","248.65","248.80","246.60","304.70","121.60","4,00,07,808","9,86,60,06,525.95","2,44,274"
"16-Jan-2025","EQ","250.00","262.00","241.00","243.90","243.85","241.90","247.02","304.70","121.60","6,96,21,318","17,19,77,27,806.25","3,67,498"
"15-Jan-2025","EQ","235.00","246.00","235.00","233.60","245.70","243.90","241.69","304.70","121.60","6,59,21,349","15,93,24,56,932.25","3,53,117"
"14-Jan-2025","EQ","233.95","237.60","230.00","227.15","234.75","233.60","234.61","304.70","121.60","8,53,63,264","20,02,74,51,955.00","3,80,056"
